name,city_code,province_code,region_code,psgc
"Adams (Pob.)",012801,0128,01,012801001
Bani,012802,0128,01,012802001
Buyon,012802,0128,01,012802002
Cabaruan,012802,0128,01,012802003
Cabulalaan,012802,0128,01,012802004
Cabusligan,012802,0128,01,012802005
Cadaratan,012802,0128,01,012802006
Calioet-Libong,012802,0128,01,012802007
Casilian,012802,0128,01,012802008
Corocor,012802,0128,01,012802009
Duripes,012802,0128,01,012802011
Ganagan,012802,0128,01,012802012
Libtong,012802,0128,01,012802013
Macupit,012802,0128,01,012802014
Nambaran,012802,0128,01,012802015
Natba,012802,0128,01,012802016
Paninaan,012802,0128,01,012802017
Pasiocan,012802,0128,01,012802018
Pasngal,012802,0128,01,012802019
Pipias,012802,0128,01,012802020
Pulangi,012802,0128,01,012802021
Pungto,012802,0128,01,012802022
"San Agustin I (Pob.)",012802,0128,01,012802024
"San Agustin II (Pob.)",012802,0128,01,012802025
"San Andres I (Pob.)",012802,0128,01,012802027
"San Andres II (Pob.)",012802,0128,01,012802028
"San Gabriel I (Pob.)",012802,0128,01,012802030
"San Gabriel II (Pob.)",012802,0128,01,012802031
"San Pedro I (Pob.)",012802,0128,01,012802033
"San Pedro II (Pob.)",012802,0128,01,012802034
"San Roque I (Pob.)",012802,0128,01,012802036
"San Roque II (Pob.)",012802,0128,01,012802037
"San Simon I (Pob.)",012802,0128,01,012802039
"San Simon II (Pob.)",012802,0128,01,012802040
"San Vicente (Pob.)",012802,0128,01,012802041
Sangil,012802,0128,01,012802042
"Santa Filomena I (Pob.)",012802,0128,01,012802044
"Santa Filomena II (Pob.)",012802,0128,01,012802045
"Santa Rita (Pob.)",012802,0128,01,012802046
"Santo Cristo I (Pob.)",012802,0128,01,012802047
"Santo Cristo II (Pob.)",012802,0128,01,012802048
Tambidao,012802,0128,01,012802050
Teppang,012802,0128,01,012802051
Tubburan,012802,0128,01,012802052
"Alay-Nangbabaan (Alay 15-B)",012803,0128,01,012803001
Alogoog,012803,0128,01,012803002
Ar-arusip,012803,0128,01,012803003
Aring,012803,0128,01,012803004
Balbaldez,012803,0128,01,012803005
Bato,012803,0128,01,012803006
Camanga,012803,0128,01,012803007
"Canaan (Pob.)",012803,0128,01,012803008
Caraitan,012803,0128,01,012803009
"Gabut Norte",012803,0128,01,012803011
"Gabut Sur",012803,0128,01,012803012
"Garreta (Pob.)",012803,0128,01,012803013
Labut,012803,0128,01,012803016
Lacuben,012803,0128,01,012803017
Lubigan,012803,0128,01,012803018
"Mabusag Norte",012803,0128,01,012803020
"Mabusag Sur",012803,0128,01,012803021
Madupayas,012803,0128,01,012803022
Morong,012803,0128,01,012803023
Nagrebcan,012803,0128,01,012803025
Napu,012803,0128,01,012803026
"La Virgen Milagrosa (Paguetpet)",012803,0128,01,012803027
"Pagsanahan Norte",012803,0128,01,012803028
"Pagsanahan Sur",012803,0128,01,012803029
Paltit,012803,0128,01,012803030
