name,code,region_code,psgc
"ILOCOS NORTE",0128,01,012800000
"ILOCOS SUR",0129,01,012900000
"LA UNION",0133,01,013300000
PANGASINAN,0155,01,015500000
BATANES,0209,02,020900000
CAGAYAN,0215,02,021500000
ISABELA,0231,02,023100000
"NUEVA VIZCAYA",0250,02,025000000
QUIRINO,0257,02,025700000
BATAAN,0308,03,030800000
BULACAN,0314,03,031400000
"NUEVA ECIJA",0349,03,034900000
PAMPANGA,0354,03,035400000
TARLAC,0369,03,036900000
ZAMBALES,0371,03,037100000
AURORA,0377,03,037700000
BATANGAS,0410,04,041000000
CAVITE,0421,04,042100000
LAGUNA,0434,04,043400000
QUEZON,0456,04,045600000
RIZAL,0458,04,045800000
MARINDUQUE,1740,17,174000000
"OCCIDENTAL MINDORO",1751,17,175100000
"ORIENTAL MINDORO",1752,17,175200000
PALAWAN,1753,17,175300000
ROMBLON,1759,17,175900000
ALBAY,0505,05,050500000
"CAMARINES NORTE",0516,05,051600000
"CAMARINES SUR",0517,05,051700000
CATANDUANES,0520,05,052000000
MASBATE,0541,05,054100000
SORSOGON,0562,05,056200000
AKLAN,0604,06,060400000
ANTIQUE,0606,06,060600000
CAPIZ,0619,06,061900000
ILOILO,0630,06,063000000
"NEGROS OCCIDENTAL",0645,06,064500000
GUIMARAS,0679,06,067900000
BOHOL,0712,07,071200000
CEBU,0722,07,072200000
"NEGROS ORIENTAL",0746,07,074600000
SIQUIJOR,0761,07,076100000
"EASTERN SAMAR",0826,08,082600000
LEYTE,0837,08,083700000
"NORTHERN SAMAR",0848,08,084800000
"SAMAR (WESTERN SAMAR)",0860,08,086000000
"SOUTHERN LEYTE",0864,08,086400000
BILIRAN,0878,08,087800000
"ZAMBOANGA DEL NORTE",0972,09,097200000
"ZAMBOANGA DEL SUR",0973,09,097300000
"ZAMBOANGA SIBUGAY",0983,09,098300000
"CITY OF ISABELA",0997,09,099700000
BUKIDNON,1013,10,101300000
CAMIGUIN,1018,10,101800000
"LANAO DEL NORTE",1035,10,103500000
"MISAMIS OCCIDENTAL",1042,10,104200000
"MISAMIS ORIENTAL",1043,10,104300000
"DAVAO DEL NORTE",1123,11,112300000
"DAVAO DEL SUR",1124,11,112400000
"DAVAO ORIENTAL",1125,11,112500000
"DAVAO DE ORO",1182,11,118200000
"DAVAO OCCIDENTAL",1186,11,118600000
"COTABATO (NORTH COTABATO)",1247,12,124700000
"SOUTH COTABATO",1263,12,126300000
"SULTAN KUDARAT",1265,12,126500000
SARANGANI,1280,12,128000000
"COTABATO CITY",1298,12,129800000
"NCR, CITY OF MANILA, FIRST DISTRICT",1339,13,133900000
"CITY OF MANILA",1339,13,133900000
"NCR, SECOND DISTRICT",1374,13,137400000
"NCR, THIRD DISTRICT",1375,13,137500000
"NCR, FOURTH DISTRICT",1376,13,137600000
ABRA,1401,14,140100000
BENGUET,1411,14,141100000
IFUGAO,1427,14,142700000
KALINGA,1432,14,143200000
"MOUNTAIN PROVINCE",1444,14,144400000
APAYAO,1481,14,148100000
BASILAN,1507,15,150700000
"LANAO DEL SUR",1536,15,153600000
MAGUINDANAO,1538,15,153800000
SULU,1566,15,156600000
TAWI-TAWI,1570,15,157000000
"AGUSAN DEL NORTE",1602,16,160200000
"AGUSAN DEL SUR",1603,16,160300000
"SURIGAO DEL NORTE",1667,16,166700000
"SURIGAO DEL SUR",1668,16,166800000
"DINAGAT ISLANDS",1685,16,168500000
