name,code,psgc
"REGION I (ILOCOS REGION)",01,010000000
"REGION II (CAGAYAN VALLEY)",02,020000000
"REGION III (CENTRAL LUZON)",03,030000000
"REGION IV-A (CALABARZON)",04,040000000
"REGION IV-B (MIMAROPA)",17,170000000
"REGION V (BICOL REGION)",05,050000000
"REGION VI (WESTERN VISAYAS)",06,060000000
"REGION VII (CENTRAL VISAYAS)",07,070000000
"REGION VIII (EASTERN VISAYAS)",08,080000000
"REGION IX (ZAMBOANGA PENINSULA)",09,090000000
"REGION X (NORTHERN MINDANAO)",10,100000000
"REGION XI (DAVAO REGION)",11,110000000
"REGION XII (SOCCSKSARGEN)",12,120000000
"NATIONAL CAPITAL REGION (NCR)",13,130000000
"CORDILLERA ADMINISTRATIVE REGION (CAR)",14,140000000
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",15,150000000
"REGION XIII (Caraga)",16,160000000
